X_pix,Y_pix,R_pix,X_real,Y_real,Z_real
953,1058,17.95142174,0,3,6
946,901,17.33607101,0,4,6
951,737,17.63546944,0,5,6
1122,1060,18.98589897,1,3,6
1126,898,17.75911903,1,4,6
1129,734,17.80145264,1,5,6
1317,738,18.17975807,2,5,6
1298,901,18.13007164,2,4,6
1291,1064,18.82162857,2,3,6
788,1064,18.00183487,-1,3,6
779,907,18.12705421,-1,4,6
771,744,17.98839951,-1,5,6
596,740,19.30035782,-2,5,6
609,903,18.91701698,-2,4,6
621,1057,18.22573662,-2,3,6
648,673,15.70188141,-2,5,7
793,672,14.66834545,-1,5,7
948,673,14.58173943,0,5,7
1097,673,15.0679903,1,5,7
1260,678,15.01311493,2,5,7
1221,632,12.20910454,2,5,8
1089,631,13.27131748,1,5,8
951,629,12.38457298,0,5,8
821,630,12.2066555,-1,5,8
684,632,13.65688992,-2,5,8
712,595,11.06840611,-2,5,9
834,594,10.53135014,-1,5,9
950,593,10.75969219,0,5,9
1071,594,11.10919094,1,5,9
1191,596,11.27513981,2,5,9
737,562,12.65908909,-2,5,10
851,564,12.06891346,-1,5,10
951,564,11.89619541,0,5,10
1061,563,11.86010265,1,5,10
1166,564,11.93373775,2,5,10
1147,541,10.81509113,2,5,11
1053,540,10.62258148,1,5,11
949,539,10.90669918,0,5,11
860,539,11.19050598,-1,5,11
751,539,10.97803116,-2,5,11
764,518,10.12432861,-2,5,12
867,517,9.934849739,-1,5,12
953,518,10.3207407,0,5,12
1041,518,10.31686115,1,5,12
1130,519,10.30786419,2,5,12
1127,607,10.21090221,2,4,12
1042,607,9.721759796,1,4,12
951,606,9.803620338,0,4,12
872,605,10.16238403,-1,4,12
769,606,10.12432861,-2,4,12
754,633,11.99494553,-2,4,11
861,632,13.58317757,-1,4,11
948,631,11.58198833,0,4,11
1049,631,11.85482693,1,4,11
1143,634,11.70479965,2,4,11
1162,668,12.65758324,2,4,10
1054,666,12.60412312,1,4,10
953,666,13.01391983,0,4,10
851,664,14.71403885,-1,4,10
738,665,14.46326733,-2,4,10
722,704,13.53210258,-2,4,9
840,705,12.74974442,-1,4,9
950,706,12.5400362,0,4,9
1071,704,14.22156239,1,4,9
1181,706,13.48165035,2,4,9
1210,756,15.20115185,2,4,8
1082,753,15.85918808,1,4,8
950,754,15.20700645,0,4,8
823,754,16.00790977,-1,4,8
701,756,15.23331738,-2,4,8
671,813,18.34437752,-2,4,7
803,813,17.95915413,-1,4,7
949,812,19.32367516,0,4,7
1098,815,16.63971329,1,4,7
1248,817,17.2355175,2,4,7
1290,892,19.44849586,2,4,6
1118,891,21.53384972,1,4,6
944,893,20.59742928,0,4,6
775,891,24.68823433,-1,4,6
627,892,21.96598244,-2,4,6
572,996,24.70593262,-2,4,5
748,1009,24.01378441,-1,4,5
947,1004,24.23933411,0,4,5
1155,1007,23.51024055,1,4,5
1361,1006,22.41915512,2,4,5
1376,820,24.68255043,2,5,5
1163,817,24.67936325,1,5,5
946,815,24.0504303,0,5,5
746,820,24.30963707,-1,5,5
556,814,24.65389061,-2,5,5
678,945,18.82162857,-2,3,7
813,950,17.58582115,-1,3,7
952,949,19.76283646,0,3,7
1099,951,17.84666824,1,3,7
1240,957,17.78338432,2,3,7
1209,882,16.55304527,2,3,8
1080,879,15.84108353,1,3,8
955,877,15.02569866,0,3,8
828,878,14.64552784,-1,3,8
703,881,15.2690649,-2,3,8
723,819,13.83395576,-2,3,9
845,817,13.92162132,-1,3,9
952,818,13.24806786,0,3,9
1069,815,15.01142406,1,3,9
1179,818,14.14653015,2,3,9
1159,771,13.41650772,2,3,10
1058,769,11.62980366,1,3,10
953,767,13.46301174,0,3,10
856,769,13.20047855,-1,3,10
743,770,12.66498947,-2,3,10
762,730,12.31505585,-2,3,11
864,727,11.08377838,-1,3,11
951,725,13.28542995,0,3,11
1049,726,13.23830223,1,3,11
1142,728,13.12450504,2,3,11
1125,695,10.77042961,2,3,12
1041,694,11.23620224,1,3,12
953,692,10.36484146,0,3,12
873,693,10.46566296,-1,3,12
774,693,10.66229343,-2,3,12
783,777,9.597790718,-2,2,12
875,777,10.57359886,-1,2,12
956,777,11.80084038,0,2,12
1040,778,10.4355526,1,2,12
1126,778,10.59684944,2,2,12
1141,820,11.321805,2,2,11
1051,817,12.74764919,1,2,11
953,818,11.55655575,0,2,11
870,818,11.44669819,-1,2,11
766,819,12.5400362,-2,2,11
746,864,14.6632061,-2,2,10
855,867,11.77241802,-1,2,10
954,868,11.29601002,0,2,10
1055,867,12.09722424,1,2,10
1157,867,12.35797215,2,2,10
1179,926,14.53454208,2,2,9
1066,925,13.4788456,1,2,9
953,925,13.41546535,0,2,9
846,926,13.25208855,-1,2,9
730,926,13.27462673,-2,2,9
710,997,14.43908882,-2,2,8
833,998,15.46270752,-1,2,8
953,996,15.44043159,0,2,8
1081,997,15.41964054,1,2,8
1204,997,16.80783463,2,2,8
1176,1030,12.9038868,2,1,9
1072,1028,14.24014473,1,1,9
950,1031,13.08635235,0,1,9
849,1032,14.91653442,-1,1,9
735,1031,13.83924675,-2,1,9
755,968,11.67307949,-2,1,10
860,966,11.24892139,-1,1,10
957,963,11.46966648,0,1,10
1057,966,12.2066555,1,1,10
1158,965,12.10381889,2,1,10
1140,911,11.43253708,2,1,11
1050,908,11.35034752,1,1,11
951,908,11.14769363,0,1,11
872,910,10.55957508,-1,1,11
769,910,10.78221416,-2,1,11
781,862,9.885398865,-2,1,12
874,859,10.12432861,-1,1,12
956,861,10.40442657,0,1,12
1041,862,11.12481308,1,1,12
1126,862,10.31755924,2,1,12
1136,986,10.15845394,2,0,11
1047,985,10.03478432,1,0,11
952,982,10.35909939,0,0,11
869,984,10.30786419,-1,0,11
769,986,10.87888432,-2,0,11
753,1047,11.81673145,-2,0,10
861,1048,11.40185452,-1,0,10
955,1047,11.28810596,0,0,10
1056,1045,11.65174675,1,0,10
1155,1045,11.11812687,2,0,10
